start_time,end_time,label
0,33,steering
50,97,texting
101,128,steering
136,167,calling_right
169,195,calling_left
202,227,steering
233,288,reading
291,317,steering
328.308,329.743,eating_up
330.343,331.21,eating_down
337.715,338.483,eating_up
339.616,341.351,eating_down
347.255,348.556,eating_up
349.256,351.658,eating_down
354.995,356.596,eating_up
357.73,359.598,eating_down
366.403,368.405,eating_up
368.705,370.073,eating_down
375.743,376.945,eating_up
377.945,378.545,eating_down
383,385,steering
